2026-06-11 20:36:03 | INFO     | sft | Config loaded from: /workspace/deepseekcode/src/fine_tune/deepseek_dsa.yaml
2026-06-11 20:36:03 | INFO     | sft | Random seed set to 42
2026-06-11 20:36:04 | INFO     | sft | Before model load — GPU:0 — allocated=0.00GB  reserved=0.00GB  total=31.37GB
2026-06-11 20:36:07 | INFO     | sft | [model setup] finished in 3.31s
2026-06-11 20:38:22 | INFO     | sft | Config loaded from: /workspace/deepseekcode/src/fine_tune/deepseek_dsa.yaml
2026-06-11 20:38:22 | INFO     | sft | Random seed set to 42
2026-06-11 20:38:23 | INFO     | sft | Before model load — GPU:0 — allocated=0.00GB  reserved=0.00GB  total=31.37GB
2026-06-11 20:38:44 | INFO     | sft | [model setup] finished in 21.14s
2026-06-11 22:48:50 | INFO     | sft | Config loaded from: /workspace/deepseekcode/src/fine_tune/deepseek_dsa.yaml
2026-06-11 22:48:50 | INFO     | sft | Random seed set to 42
2026-06-11 22:48:50 | INFO     | sft | Before model load — GPU:0 — allocated=0.00GB  reserved=0.00GB  total=31.37GB
2026-06-11 22:49:08 | INFO     | sft | [model setup] finished in 17.86s
2026-06-11 22:53:43 | INFO     | sft | Config loaded from: /workspace/deepseekcode/src/fine_tune/deepseek_dsa.yaml
2026-06-11 22:53:43 | INFO     | sft | Random seed set to 42
2026-06-11 22:53:43 | INFO     | sft | Before model load — GPU:0 — allocated=0.00GB  reserved=0.00GB  total=31.37GB
2026-06-11 22:53:45 | INFO     | sft | [model setup] finished in 1.19s
